ts	imei	mwra	c.dogalize	c.android.gm	c.android.youtube	c.android.chrome	c.katana	c.raider	c.android.vending	c.UCMobile.x86	c.updateassist	c.UCMobile.intl
2018-05-05 10:00:00	3590433799317661693	1.00000	5.11208	10.02817	15.07671	12.46608	8.10118	46.20406	20.71493	79.76850	75.68132	63.99591
2018-05-05 10:01:00	863033069630348362	1.00000	12.53455	12.44584	13.20187	9.40848	7.27400	47.72439	25.30530	80.52045	62.36753	93.24322
2018-05-05 10:02:00	863033069630348040	1.00000	10.72532	10.75620	10.77881	11.11719	12.79590	25.14114	77.40480	37.28781	46.97291	9.08001
2018-05-05 10:03:00	8630330696303482121	0.00000	7.73201	9.52005	12.24554	11.12170	13.77184	48.52576	72.40145	9.99980	64.95956	84.85341
2018-05-05 10:04:00	3590433799317661495	0.00000	6.61303	7.32034	14.42927	8.01345	13.95424	64.73747	70.80009	94.57614	71.02708	27.98753
2018-05-05 10:05:00	8630330696303481008	0.00000	10.33533	10.45263	11.10147	11.03759	12.22096	42.21370	50.97829	35.00871	77.42728	39.65387
2018-05-05 10:06:00	3590433799317661081	1.00000	12.14942	7.53960	12.75057	13.28150	9.29477	75.82741	26.76322	51.57463	76.06387	18.35662
2018-05-05 10:07:00	359043379931766890	1.00000	15.21718	11.23817	14.46671	8.31639	6.76134	39.29443	40.93462	45.63077	58.68338	38.53394
2018-05-05 10:08:00	8630330696303482253	0.00000	10.64066	11.26085	9.95046	8.79307	10.70583	36.66600	92.97016	2.59981	14.10387	15.35744
2018-05-05 10:09:00	8630330696303482113	1.00000	9.47088	7.30380	12.31216	10.94887	9.49920	45.51047	59.86103	84.57300	46.87915	90.38331
2018-05-05 10:10:00	863033069630348313	1.00000	6.03282	14.26051	7.60797	16.25365	9.73405	32.18388	78.03328	55.50093	76.57896	36.37207
2018-05-05 10:11:00	3590433799317661404	1.00000	6.41121	9.53064	14.21958	11.84550	8.49039	48.69553	1.97188	38.81469	12.58478	89.43470
2018-05-05 10:12:00	863033069630348701	1.00000	10.18208	6.25176	12.65492	14.49127	7.85400	31.04344	40.75404	29.01273	93.59585	44.69222
2018-05-05 10:13:00	3590433799317662170	0.00000	6.95412	10.46893	10.87766	15.14974	9.88736	61.11753	2.63717	34.28241	73.74983	16.71083
