latitude	longitude	store_name	code	location	imei
48.21644	9.02596	Albstadt	DE	Europe/Berlin	863033069630348990
12.74409	-8.07257	Kati	ML	Africa/Bamako	3590433799317661677
7.83389	-72.47417	Villa del Rosario	CO	America/Bogota	3590433799317661990
12.37169	123.62494	Masbate	PH	Asia/Manila	3590433799317661172
39.33427	-76.43941	Middle River	US	America/New_York	863033069630348073
20.88197	85.83334	Bhuban	IN	Asia/Kolkata	359043379931766148
34.15429	3.50309	Messaad	DZ	Africa/Algiers	8630330696303481370
49.28669	1.00288	Elbeuf	FR	Europe/Paris	863033069630348701
6.46346	-2.31938	Bibiani	GH	Africa/Accra	359043379931766874
42.62833	20.89389	Glogovac	XK	Europe/Belgrade	3590433799317662345
9.92787	-84.13722	San Rafael	CR	America/Costa_Rica	3590433799317662311
27.71809	-82.35176	Sun City Center	US	America/New_York	863033069630348743
0.51667	101.44167	Pekanbaru	ID	Asia/Jakarta	8630330696303482196
51.30001	13.10984	Oschatz	DE	Europe/Berlin	8630330696303482402
16.455	120.5875	La Trinidad	PH	Asia/Manila	8630330696303481610
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	8630330696303481842
39.46667	141.95	Yamada	JP	Asia/Tokyo	863033069630348057
-23.7975	-48.59278	Buri	BR	America/Sao_Paulo	8630330696303481149
36.6009	126.665	Hongseong	KR	Asia/Seoul	863033069630348271
15.5439	73.7553	Calangute	IN	Asia/Kolkata	8630330696303482261
50.80904	8.77069	Marburg an der Lahn	DE	Europe/Berlin	3590433799317661115
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	863033069630348792
51.35084	-1.99421	Devizes	GB	Europe/London	8630330696303481685
39.96348	-4.83076	Talavera de la Reina	ES	Europe/Madrid	3590433799317661602
22.88783	84.13864	Jashpurnagar	IN	Asia/Kolkata	3590433799317661503
43.61092	3.87723	Montpellier	FR	Europe/Paris	359043379931766403
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481297
50.71229	4.52529	Rixensart	BE	Europe/Brussels	863033069630348073
31.82539	72.54064	Sillanwali	PK	Asia/Karachi	8630330696303481032
40.57788	-73.95958	Brighton Beach	US	America/New_York	8630330696303482196
-4.42472	-41.45861	Pedro II	BR	America/Fortaleza	8630330696303481248
41.20485	-8.33147	Paredes	PT	Europe/Lisbon	8630330696303481578
32.54278	111.50861	Danjiangkou	CN	Asia/Shanghai	359043379931766429
41.55947	14.66737	Campobasso	IT	Europe/Rome	8630330696303481206
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	8630330696303481990
15.73628	75.96976	Gajendragarh	IN	Asia/Kolkata	3590433799317661313
22.19303	88.18466	Diamond Harbour	IN	Asia/Kolkata	8630330696303481826
50.511002	14.150558	Terezín	CZ	Europe/Prague	863033069630348859
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	8630330696303481263
13.8196	100.04427	Nakhon Pathom	TH	Asia/Bangkok	3590433799317661800
49.07866	30.96755	Zvenihorodka	UA	Europe/Kyiv	863033069630348032
48.8222	2.12213	Le Chesnay	FR	Europe/Paris	359043379931766965
49.952431	15.268654	Kutná Hora	CZ	Europe/Prague	863033069630348057
-21.41222	-42.19667	Miracema	BR	America/Sao_Paulo	863033069630348172
51.4781	57.3552	Kuvandyk	RU	Asia/Yekaterinburg	359043379931766999
35	136.51667	Komono	JP	Asia/Tokyo	3590433799317661511
41.15612	1.10687	Reus	ES	Europe/Madrid	8630330696303482311
50.23019	8.77155	Karben	DE	Europe/Berlin	8630330696303482253
25.95533	68.88871	Jhol	PK	Asia/Karachi	359043379931766460
12.1277	78.15794	Dharmapuri	IN	Asia/Kolkata	3590433799317661990
8.88988	-79.62603	Veracruz	PA	America/Panama	863033069630348305
-28.44917	-52.2	Marau	BR	America/Sao_Paulo	8630330696303481818
43.41949	77.0202	Otegen Batyra	KZ	Asia/Almaty	8630330696303481263
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	8630330696303481354
-31.4488	-60.93173	Esperanza	AR	America/Argentina/Cordoba	8630330696303481164
53.38333	-0.76667	Gainsborough	GB	Europe/London	3590433799317661719
51.168	7.973	Finnentrop	DE	Europe/Berlin	863033069630348024
41.57439	24.71204	Smolyan	BG	Europe/Sofia	359043379931766841
47.4943	-122.24092	Bryn Mawr-Skyway	US	America/Los_Angeles	359043379931766114
17.06542	-96.72365	Oaxaca	MX	America/Mexico_City	8630330696303481511
19.04222	-98.11889	Casa Blanca	MX	America/Mexico_City	8630330696303482329
6.45407	3.39467	Lagos	NG	Africa/Lagos	8630330696303481982
40.64621	-73.97069	Kensington	US	America/New_York	359043379931766767
36.27462	4.85668	Bordj Zemoura	DZ	Africa/Algiers	8630330696303481743
43.67681	4.63031	Arles	FR	Europe/Paris	863033069630348305
