ts	imei	mwra	p.android.packageinstaller	p.android.settings	p.android.documentsui	p.android.chrome	p.android.gm	p.system	p.android.externalstorage	p.android.vending	p.process.gapps	p.google	p.browser.provider	p.android.defcontainer	p.dogalize	p.olauncher	p.simulator	p.inputmethod.latin	p.android.gms	p.notifier	p.katana	p.gms.persistent
2018-05-05 10:00:00	3590433799317661693	1.00000	9.23642	14.64737	12.28429	8.10855	11.56273	9.81747	7.96281	0.00066	53.45939	41.92917	35.91940	24.95922	21.17604	80.95317	64.67547	55.80378	82.99368	96.45875	95.47350	18.60413
2018-05-05 10:01:00	863033069630348362	1.00000	12.12539	13.31378	8.53914	8.99158	10.84797	10.73896	12.39776	0.00707	72.30168	54.96517	59.79664	48.67044	40.08113	25.00209	86.68513	4.17599	65.28470	11.04057	72.81380	55.76611
2018-05-05 10:02:00	863033069630348040	1.00000	11.93971	13.62370	13.71940	10.16446	14.61026	10.14790	10.00803	0.00133	51.99490	56.92779	37.66953	51.76377	87.50645	8.40823	32.66810	96.13825	4.88761	29.88836	82.48309	18.89299
2018-05-05 10:03:00	8630330696303482121	0.00000	11.75678	5.40945	10.37504	12.96885	15.71257	13.59185	14.10555	0.00038	66.31859	28.37329	47.54273	51.31861	40.91248	46.38488	35.03554	24.37016	69.40371	27.45343	53.48129	80.62817
2018-05-05 10:04:00	3590433799317661495	0.00000	13.29218	9.88140	10.48243	12.30196	10.07931	14.95220	12.61291	0.00007	32.31705	43.69172	44.97460	35.66277	43.71764	14.70324	73.82801	24.01651	55.68464	29.72480	93.90266	79.73910
2018-05-05 10:05:00	8630330696303481008	0.00000	13.19161	7.99143	9.55034	13.38902	12.96183	13.91553	14.53600	0.00099	34.24014	60.83391	56.05802	64.30454	98.45050	95.98109	91.78194	90.53316	93.62422	9.12383	20.26469	9.00482
2018-05-05 10:06:00	3590433799317661081	1.00000	9.85402	9.71940	14.13022	11.38647	15.02363	6.77979	11.47326	0.00008	44.48805	41.86512	57.01854	35.99250	42.27394	9.10620	95.63927	84.43238	3.23046	63.02104	35.86119	79.10506
2018-05-05 10:07:00	359043379931766890	1.00000	14.49059	14.38704	11.52831	7.37371	10.12288	7.28075	15.94055	0.00214	40.61600	56.03966	28.69258	45.87805	66.72992	89.56990	37.99454	86.33179	56.84727	29.35937	29.71587	12.72356
2018-05-05 10:08:00	8630330696303482253	0.00000	12.53625	7.70030	5.64371	11.70791	11.63867	13.08159	15.71640	0.00219	35.18160	41.21071	63.95497	45.23981	25.76412	85.67547	81.93075	25.05241	7.51486	97.66774	4.79784	65.05470
2018-05-05 10:09:00	8630330696303482113	1.00000	11.14575	13.57765	13.51877	11.08321	14.61151	10.42326	11.40078	0.00008	39.07862	58.20005	71.20401	34.64374	89.37432	34.28955	66.37467	19.28151	86.05610	62.07031	51.62974	2.71706
2018-05-05 10:10:00	863033069630348313	1.00000	10.99459	8.56439	11.20380	11.32347	13.92340	12.29593	15.36563	0.04333	44.03607	27.77054	43.96221	59.24946	8.71988	0.69082	53.17590	95.39615	32.84547	6.32803	39.41109	0.65491
