ts,imei,mwra,c.dogalize,c.android.gm,c.android.youtube,c.android.chrome,c.katana,c.raider,c.android.vending,c.UCMobile.x86,c.updateassist,c.UCMobile.intl,p.android.packageinstaller,p.android.settings,p.android.documentsui,p.android.chrome,p.android.gm,p.system,p.android.externalstorage,p.android.vending,p.process.gapps,p.google,p.browser.provider,p.android.defcontainer,p.dogalize,p.olauncher,p.simulator,p.inputmethod.latin,p.android.gms,p.notifier,p.katana,p.gms.persistent
2018-05-15 17:44:00,8630330696303481768,1.0,11.05442,9.51783,13.07261,11.26408,9.09926,60.82065,53.08404,10.54176,52.12901,14.0241,6.57483,13.87547,12.29854,9.17124,13.50656,11.19958,10.05995,0.0004,46.47592,35.87688,59.09201,68.68074,4.39129,67.47096,20.19761,57.82362,1.4481,42.41708,44.68959,95.03453
2018-05-14 20:04:00,3590433799317661388,0.0,10.13187,10.86116,9.00224,13.74781,14.22589,54.20356,90.7124,74.29477,42.34133,21.75041,15.10829,9.25869,4.82625,5.07361,9.18213,12.75375,10.68862,0.00147,55.07407,53.05078,38.59152,44.35313,47.56536,25.75154,14.34759,97.68243,81.14083,0.74463,71.0545,88.38195
2018-05-14 19:14:00,3590433799317662147,1.0,14.13432,12.7315,15.19753,9.85092,8.64199,47.48371,45.82497,78.56424,32.2335,51.68905,10.44216,10.24859,10.87738,11.05388,15.25834,7.5153,14.27156,0.00942,18.26321,48.08105,40.27148,35.39213,31.84646,28.6124,95.1157,80.43776,54.7201,90.37201,85.29783,86.75833
2018-05-07 01:48:00,359043379931766056,1.0,12.13142,11.3968,12.11384,10.43081,9.85303,63.21128,86.52153,43.55065,87.26663,12.59982,11.72667,12.621,11.19647,10.292,13.05517,8.53419,12.83406,0.00253,26.5974,37.16356,56.66628,29.95672,53.37871,83.89402,29.01471,46.47996,99.39948,70.97485,99.75598,49.87353
2018-05-08 10:08:00,8630330696303482188,1.0,9.07048,9.80789,12.09374,8.66083,8.8596,25.42889,67.15067,66.38747,99.58988,50.07467,9.54368,6.5228,8.77192,10.23295,15.27049,12.54725,15.46251,0.00055,54.817,24.05168,70.82622,29.36574,38.30832,30.59322,18.05187,27.69324,40.26494,41.18806,79.51211,56.19272
2018-05-11 23:00:00,863033069630348149,1.0,9.27098,11.06591,9.64603,13.08864,9.81819,45.55575,33.30055,87.00091,84.10848,84.7809,7.36948,12.71379,15.04924,10.64486,10.79611,8.21954,7.80168,0.00179,54.04269,59.8754,57.74203,42.14986,65.64578,75.66326,46.61425,30.19003,55.69152,44.1169,85.2971,50.46873
2018-05-14 14:38:00,359043379931766601,1.0,11.14223,10.1054,12.65801,9.02433,8.23741,60.33607,57.92399,28.74225,43.83946,82.60476,12.19303,10.8568,6.95479,13.13293,13.39475,10.5527,11.99524,0.00071,41.55892,50.54335,53.55424,62.39992,57.03425,47.17205,18.34819,27.26311,36.11828,60.61147,92.998,97.60112
2018-05-11 06:06:00,3590433799317662022,1.0,12.53052,12.03988,11.83109,7.88123,8.84369,36.71274,18.72169,43.70378,64.29752,14.14678,17.23036,14.37857,9.15947,8.1939,11.31348,10.92563,11.72144,0.00473,60.88164,39.96258,54.03867,23.2037,24.86829,7.28045,95.65679,89.89293,87.46326,46.13033,78.81095,51.70904
2018-05-12 21:13:00,3590433799317662246,1.0,9.30133,10.60819,12.14381,10.56665,10.61729,51.41618,28.10185,99.07604,34.57268,90.92196,11.24797,14.54824,9.83235,9.81716,10.3749,9.86253,6.62558,0.00115,68.94669,50.83086,34.89336,77.30393,16.72531,17.34453,13.9869,77.0979,51.58606,31.76931,82.61983,26.75531
2018-05-10 19:55:00,863033069630348883,1.0,12.60625,14.00694,12.73395,7.31067,13.57016,57.86438,17.58023,19.73563,69.22795,70.08524,15.2369,12.29796,12.73424,8.74559,13.44245,10.52593,13.51566,0.03362,56.70421,59.93145,55.29114,69.25935,76.32171,13.91873,91.17718,0.15195,79.01239,63.16205,48.67042,54.69469
2018-05-05 18:30:00,8630330696303482121,1.0,15.96495,9.83526,14.96445,8.77718,6.02299,66.63284,33.07612,78.19054,87.64117,17.98133,11.9118,12.86867,9.02582,10.16929,11.49269,9.19367,13.42637,0.00054,61.65253,54.75942,55.02423,40.3199,89.32323,84.54025,71.80886,75.75039,61.95687,18.97157,87.57705,74.02894
2018-05-05 21:40:00,3590433799317662121,0.0,5.75264,13.43376,7.79885,14.6402,11.88654,46.26469,61.44503,53.28504,22.43848,88.20935,10.88531,8.55695,8.25828,9.9047,12.51988,12.63399,13.39491,0.01896,56.67861,50.16218,79.64526,62.30293,8.14408,73.81619,65.14885,4.64266,89.52103,1.88496,20.10507,65.19579
2018-05-08 04:20:00,8630330696303481784,0.0,11.21909,10.11631,7.7308,10.10485,12.96076,40.73209,85.92747,4.10259,10.84969,20.98164,11.96165,10.66423,10.76755,6.87536,12.61871,15.92575,13.60057,0.00073,66.62346,53.71512,36.72384,65.69416,17.29156,84.85839,86.49934,10.77651,39.5756,77.27947,40.46662,94.51906
2018-05-08 03:55:00,3590433799317661958,1.0,11.58735,8.24273,10.02447,10.67506,9.80737,68.67064,16.66777,61.96656,84.63565,21.21581,9.19801,13.68782,11.79985,8.66574,11.26026,10.19927,8.96658,0.00017,78.96209,83.93488,61.51337,59.32713,71.32976,59.25977,65.83735,65.91122,12.96679,13.17488,77.95332,66.25044
2018-05-06 07:17:00,3590433799317661487,0.0,6.9687,11.45633,13.08788,13.64951,12.55162,44.4621,13.17379,73.84406,4.06373,19.29078,15.10682,5.37236,10.60918,11.72382,13.12264,11.99569,15.60303,0.00267,35.41747,37.28388,36.43266,58.53533,44.99421,84.22526,36.44423,47.82724,20.4505,56.22671,10.30013,6.41346
2018-05-10 00:47:00,3590433799317662188,0.0,10.17336,10.47735,7.48332,11.14122,13.71557,54.31295,9.40414,95.68212,40.43329,84.42283,12.32521,10.24592,10.69121,7.71189,15.75697,11.41414,14.4802,0.00102,28.1773,22.60591,60.18598,70.35859,61.24167,89.65397,46.42552,49.10146,25.57024,78.43761,94.2598,79.70995
2018-05-06 19:50:00,3590433799317661479,1.0,15.98064,13.43288,11.93011,7.25294,14.18961,46.34313,84.01742,74.52628,95.16773,12.3853,15.59606,16.61431,10.36226,7.37247,13.47883,8.89211,10.62524,0.01897,41.71086,35.72069,57.30977,39.49518,8.43412,10.35673,2.81907,54.86108,65.07154,97.00624,12.02106,26.68324
2018-05-09 16:18:00,8630330696303481206,1.0,10.42937,5.68027,11.59942,10.47334,11.18109,56.2614,57.93965,55.86655,5.692,69.87111,12.01079,12.87678,16.46367,9.79985,11.58158,6.75231,10.39014,5e-05,45.34694,44.21042,51.60091,45.20026,55.92744,21.92565,27.21745,97.41013,47.58354,57.43606,33.30796,43.17923
